Unnamed: 0.1,Unnamed: 0,암호화요양기호,요양기관명,기타인력코드,기타인력코드명,기타인력수
394,2525,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNjEjJDEjJDgjJDgz,양정요양병원,110,작업치료사,2
395,2526,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNjEjJDEjJDgjJDgz,양정요양병원,200,사회복지사,1
396,7109,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjODEjJDEjJDYjJDgz,일산참사랑요양병원,71,약사,1
397,7110,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjODEjJDEjJDYjJDgz,일산참사랑요양병원,100,물리치료사,2
398,7111,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjODEjJDEjJDYjJDgz,일산참사랑요양병원,200,사회복지사,2
399,7112,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEwMDIjODEjJDEjJDYjJDgz,의료법인 정심의료재단 한마음요양병원,100,물리치료사,1
400,7113,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEwMDIjODEjJDEjJDYjJDgz,의료법인 정심의료재단 한마음요양병원,200,사회복지사,1
401,7114,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,자애요양병원,100,물리치료사,3
402,7115,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,자애요양병원,110,작업치료사,2
403,7116,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,자애요양병원,200,사회복지사,1
404,7117,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,안산조은요양병원,71,약사,1
405,7118,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,안산조은요양병원,100,물리치료사,19
406,7119,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,안산조은요양병원,110,작업치료사,10
407,7120,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,안산조은요양병원,200,사회복지사,2
408,7121,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,선진병원(요양병원),100,물리치료사,1
409,7122,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,동두천제일요양병원,71,약사,1
410,7123,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,동두천제일요양병원,100,물리치료사,8
411,7124,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,동두천제일요양병원,110,작업치료사,3
412,7125,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,동두천제일요양병원,200,사회복지사,2
413,7126,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,일산현대요양병원,71,약사,1
414,7127,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,일산현대요양병원,100,물리치료사,17
415,7128,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,일산현대요양병원,110,작업치료사,10
416,7129,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,일산현대요양병원,200,사회복지사,2
417,7130,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,자유로요양병원,71,약사,1
418,7131,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,자유로요양병원,100,물리치료사,1
419,7132,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,자유로요양병원,200,사회복지사,1
420,7133,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNjEjJDEjJDQjJDgz,성지요양병원,71,약사,1
421,7134,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNjEjJDEjJDQjJDgz,성지요양병원,100,물리치료사,1
422,7135,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNjEjJDEjJDQjJDgz,성지요양병원,200,사회복지사,1
423,7143,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz,사회복지법인 상록원 상록요양병원,71,약사,1
424,7148,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,안성현대요양병원,100,물리치료사,1
425,7149,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,안성현대요양병원,200,사회복지사,1
426,7152,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNjEjJDEjJDQjJDgz,에덴요양병원,71,약사,1
427,7153,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNjEjJDEjJDQjJDgz,에덴요양병원,100,물리치료사,3
428,7154,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNjEjJDEjJDQjJDgz,에덴요양병원,200,사회복지사,2
429,7155,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,의료법인양지의료재단양지요양병원,100,물리치료사,1
430,7156,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,의료법인양지의료재단양지요양병원,200,사회복지사,1
431,7161,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,인천시립치매요양병원,100,물리치료사,1
432,7162,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,인천시립치매요양병원,110,작업치료사,1
433,7163,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,인천시립치매요양병원,200,사회복지사,3
434,7172,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,인천은혜요양병원,71,약사,1
435,7173,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,인천은혜요양병원,100,물리치료사,2
436,7174,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,인천은혜요양병원,200,사회복지사,2
437,7175,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,안성요양병원,200,사회복지사,1
438,7176,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQzNjEwMDIjNDEjJDEjJDQjJDgz,포천새맘요양병원,100,물리치료사,1
439,7179,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,의료법인 소애의료재단 한울노인요양병원,100,물리치료사,2
440,7180,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,의료법인 소애의료재단 한울노인요양병원,200,사회복지사,1
441,7181,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNDEjJDEjJDgjJDgz,일산한울요양병원,100,물리치료사,1
442,7182,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNDEjJDEjJDgjJDgz,일산한울요양병원,200,사회복지사,1
443,7183,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNDEjJDEjJDQjJDgz,예지요양병원,200,사회복지사,2
444,7184,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,의료법인한영의료재단삼성요양병원,71,약사,1
445,7185,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,의료법인한영의료재단삼성요양병원,100,물리치료사,1
446,7186,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,의료법인한영의료재단삼성요양병원,200,사회복지사,2
447,7195,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,고려수재활요양병원,71,약사,1
448,7196,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,고려수재활요양병원,100,물리치료사,29
449,7197,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,고려수재활요양병원,110,작업치료사,29
450,7198,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,고려수재활요양병원,200,사회복지사,1
451,7199,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,근로복지공단 경기요양병원,71,약사,1
452,7200,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,근로복지공단 경기요양병원,100,물리치료사,7
453,7201,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,근로복지공단 경기요양병원,110,작업치료사,3
454,7202,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,근로복지공단 경기요양병원,200,사회복지사,3
455,7205,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,한길요양병원,100,물리치료사,1
456,7206,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,인천제2시립노인치매요양병원,100,물리치료사,2
457,7207,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,인천제2시립노인치매요양병원,110,작업치료사,1
458,7208,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,인천제2시립노인치매요양병원,200,사회복지사,2
459,7209,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,하남요양병원,100,물리치료사,1
460,7210,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,하남요양병원,200,사회복지사,1
461,7211,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,의료법인더존의료재단 경희요양병원,71,약사,1
462,7212,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,의료법인더존의료재단 경희요양병원,100,물리치료사,36
463,7213,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,의료법인더존의료재단 경희요양병원,110,작업치료사,24
464,7214,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,의료법인더존의료재단 경희요양병원,200,사회복지사,2
465,7215,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,대진요양병원,71,약사,1
466,7216,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,대진요양병원,100,물리치료사,2
467,7217,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,대진요양병원,200,사회복지사,2
468,7218,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz,의료법인해인의료재단 해인요양병원,100,물리치료사,1
469,7219,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz,의료법인해인의료재단 해인요양병원,200,사회복지사,1
470,7224,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,좋은이웃요양병원,100,물리치료사,1
471,7225,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,일산아르고요양병원,71,약사,1
472,7226,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,일산아르고요양병원,100,물리치료사,11
473,7227,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,일산아르고요양병원,110,작업치료사,4
474,7228,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,일산아르고요양병원,200,사회복지사,2
475,7229,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE4MzIjNzEjJDEjJDgjJDgz,의료법인호원의료재단호원요양병원,71,약사,1
476,7230,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE4MzIjNzEjJDEjJDgjJDgz,의료법인호원의료재단호원요양병원,100,물리치료사,10
477,7231,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE4MzIjNzEjJDEjJDgjJDgz,의료법인호원의료재단호원요양병원,110,작업치료사,5
478,7232,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE4MzIjNzEjJDEjJDgjJDgz,의료법인호원의료재단호원요양병원,200,사회복지사,2
479,7233,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인운천의료재단메디홀스요양병원,71,약사,1
480,7234,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인운천의료재단메디홀스요양병원,100,물리치료사,3
481,7235,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인운천의료재단메디홀스요양병원,200,사회복지사,2
482,7239,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQzNjEyMjIjODEjJDEjJDYjJDgz,포브스요양병원,71,약사,1
483,7240,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQzNjEyMjIjODEjJDEjJDYjJDgz,포브스요양병원,100,물리치료사,1
484,7241,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQzNjEyMjIjODEjJDEjJDYjJDgz,포브스요양병원,200,사회복지사,1
485,7242,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,화현요양병원,100,물리치료사,1
486,7243,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,화현요양병원,200,사회복지사,1
487,7244,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,한우리요양병원,71,약사,1
488,7245,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,한우리요양병원,100,물리치료사,18
489,7246,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,한우리요양병원,110,작업치료사,14
490,7247,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,한우리요양병원,200,사회복지사,2
491,7248,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNzEjJDEjJDgjJDgz,원천의료재단 중화요양병원,100,물리치료사,1
492,7249,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNzEjJDEjJDgjJDgz,원천의료재단 중화요양병원,200,사회복지사,1
493,7250,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,효정요양병원,71,약사,1
494,7251,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,효정요양병원,100,물리치료사,6
495,7252,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,효정요양병원,110,작업치료사,5
496,7253,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjNjEjJDEjJDgjJDgz,효정요양병원,200,사회복지사,1
497,7254,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjNTEjJDEjJDYjJDgz,의료법인 일선의료재단 화성현대요양병원,200,사회복지사,1
498,7257,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,일산메디안요양병원,71,약사,1
499,7258,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,일산메디안요양병원,100,물리치료사,9
500,7259,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,일산메디안요양병원,110,작업치료사,7
501,7260,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,일산메디안요양병원,200,사회복지사,2
502,7265,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,호평요양병원,100,물리치료사,8
503,7266,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,호평요양병원,110,작업치료사,4
504,7267,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,호평요양병원,200,사회복지사,1
505,7268,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNzEjJDEjJDgjJDgz,더편한소사요양병원,71,약사,1
506,7269,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNzEjJDEjJDgjJDgz,더편한소사요양병원,100,물리치료사,1
507,7270,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNzEjJDEjJDgjJDgz,더편한소사요양병원,200,사회복지사,1
508,7271,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,송추효사랑요양병원,100,물리치료사,4
509,7272,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,송추효사랑요양병원,110,작업치료사,3
510,7273,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,송추효사랑요양병원,200,사회복지사,1
511,7274,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjODEjJDEjJDIjJDgz,남양주나무요양병원,100,물리치료사,1
512,7275,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjODEjJDEjJDIjJDgz,남양주나무요양병원,200,사회복지사,1
513,7276,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNjEjJDEjJDAjJDgz,신안요양병원,71,약사,1
514,7277,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNjEjJDEjJDAjJDgz,신안요양병원,100,물리치료사,1
515,7278,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNjEjJDEjJDAjJDgz,신안요양병원,200,사회복지사,1
516,7279,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,카리스요양병원,71,약사,1
517,7280,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,카리스요양병원,100,물리치료사,4
518,7281,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,카리스요양병원,110,작업치료사,1
519,7282,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,아너스요양병원,71,약사,1
520,7283,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,아너스요양병원,100,물리치료사,6
521,7284,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,아너스요양병원,110,작업치료사,2
